City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Sao Filipe,CV,14.8961,-24.4956,78.58,78,100,3.78,overcast clouds
186,Save,BJ,8.0425,2.486,74.46,92,78,3.65,broken clouds
187,Ponta Do Sol,PT,32.6667,-17.1,74.01,84,23,12.68,few clouds
188,Pacifica,US,37.6138,-122.4869,71.64,76,75,13.8,broken clouds
189,Omsukchan,RU,62.5333,155.8,0.23,98,100,9.71,overcast clouds
190,Gat,IL,31.61,34.7642,71.4,100,8,1.14,clear sky
191,Port Augusta,AU,-32.5,137.7667,71.15,42,100,14.58,light rain
192,Ondangwa,NA,-17.9167,15.95,69.8,28,31,5.75,scattered clouds
193,Tara,RU,56.8944,74.371,37.2,93,95,6.89,overcast clouds
194,Arrifes,PT,37.7667,-25.7,55.65,77,40,4.61,thunderstorm
195,Nouadhibou,MR,20.931,-17.0347,75.18,64,100,21.85,overcast clouds
196,Puerto Leguizamo,CO,-0.1934,-74.7819,76.1,86,99,0.89,overcast clouds
197,Honningsvag,NO,70.9821,25.9704,42.55,75,100,23.02,light rain
198,Okhotsk,RU,59.3833,143.3,28.0,45,99,19.95,overcast clouds
199,Gotsu,JP,35.0,132.2167,57.52,83,100,15.61,overcast clouds
200,Kununurra,AU,-15.7667,128.7333,84.18,70,40,6.91,scattered clouds
201,Rocha,UY,-34.4833,-54.3333,55.0,83,95,9.73,overcast clouds
202,Poum,NC,-20.2333,164.0167,75.78,74,0,7.11,clear sky
203,Port Hedland,AU,-20.3167,118.5667,82.45,17,6,18.41,clear sky
204,Pisco,PE,-13.7,-76.2167,60.85,82,40,11.5,scattered clouds
205,Ayni,TJ,39.3941,68.5377,52.61,63,100,7.52,overcast clouds
206,Emba,KZ,48.8264,58.1442,37.2,65,6,3.76,clear sky
207,Powell River,CA,49.8496,-124.5361,62.33,82,75,6.91,smoke
208,Benguela,AO,-12.5763,13.4055,73.76,83,17,6.71,few clouds
209,Evensk,RU,61.95,159.2333,23.23,74,100,30.96,overcast clouds
210,Poya,NC,-21.35,165.15,82.26,56,15,9.71,few clouds
211,Mouzouras,GR,35.5333,24.15,64.4,88,75,13.8,light rain
212,Iqaluit,CA,63.7506,-68.5145,29.7,68,100,13.8,overcast clouds
213,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.33,35,100,4.03,overcast clouds
214,Igarka,RU,67.4667,86.5833,32.18,96,100,7.74,overcast clouds
215,Aromashevo,RU,56.8602,68.6375,38.84,93,99,5.64,overcast clouds
216,Chapleau,CA,47.8405,-83.4034,30.29,100,100,12.66,overcast clouds
217,Lakes Entrance,AU,-37.8811,147.981,66.16,57,100,5.61,overcast clouds
218,Aviles,ES,43.5547,-5.9248,61.99,97,0,3.44,clear sky
219,Rabo De Peixe,PT,37.8,-25.5833,56.71,96,40,4.61,thunderstorm
220,Lompoc,US,34.6391,-120.4579,72.01,81,0,9.22,clear sky
221,East London,ZA,-33.0153,27.9116,66.63,88,100,3.98,overcast clouds
222,Kintampo,GH,8.0563,-1.7306,73.53,86,60,4.07,broken clouds
223,General Roca,AR,-39.0333,-67.5833,65.62,33,97,11.45,overcast clouds
224,Goure,NE,13.9835,10.2704,80.8,21,0,7.87,clear sky
225,Kahului,US,20.8947,-156.47,87.82,64,40,17.27,scattered clouds
226,Port Hardy,CA,50.6996,-127.4199,55.58,82,75,5.75,broken clouds
227,Cape Town,ZA,-33.9258,18.4232,63.91,80,100,8.99,overcast clouds
228,Birao,CF,10.2849,22.7882,72.63,78,81,1.32,broken clouds
229,Barra Do Garcas,BR,-15.89,-52.2567,81.72,29,18,2.82,few clouds
230,Bengkulu,ID,-3.8004,102.2655,77.95,84,100,3.04,overcast clouds
231,Mezen,RU,65.8522,44.24,42.82,87,100,14.72,overcast clouds
232,Tiznit,MA,29.5833,-9.5,79.93,25,99,9.51,overcast clouds
233,Talnakh,RU,69.4865,88.3972,31.21,97,100,4.14,light snow
234,Hare Bay,CA,48.8499,-54.0148,60.19,87,100,7.54,overcast clouds
235,Nemuro,JP,43.3236,145.575,49.41,60,6,17.02,clear sky
236,Airai,TL,-8.9266,125.4092,73.22,66,72,1.41,broken clouds
237,Shetpe,KZ,44.1667,52.1167,50.63,52,100,4.54,overcast clouds
238,Cidreira,BR,-30.1811,-50.2056,64.24,91,96,19.22,moderate rain
239,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,28,0,11.5,clear sky
240,Novobureyskiy,RU,49.798,129.8774,35.89,53,3,11.1,clear sky
241,Nurota,UZ,40.5614,65.6886,52.0,53,91,7.18,overcast clouds
242,Muzhi,RU,65.3667,64.6667,37.9,96,98,9.26,overcast clouds
243,Mitsamiouli,KM,-11.3847,43.2844,74.5,81,6,7.74,clear sky
244,Rybnik,PL,50.0971,18.5418,58.24,76,77,1.99,broken clouds
245,Tarauaca,BR,-8.1614,-70.7656,73.15,96,100,1.3,light rain
246,Port Lincoln,AU,-34.7333,135.8667,58.12,91,100,16.22,overcast clouds
247,Palmdale,US,34.5794,-118.1165,81.88,24,0,10.36,clear sky
248,Akalgarh,IN,29.8167,75.8833,70.2,40,0,1.83,clear sky
249,Yar-Sale,RU,66.8333,70.8333,34.81,91,53,13.42,broken clouds
250,Ayan,RU,56.45,138.1667,37.09,47,100,18.16,overcast clouds
251,Dunedin,NZ,-45.8742,170.5036,52.81,66,94,18.01,overcast clouds
252,Alofi,NU,-19.0595,-169.9187,84.09,65,75,17.27,broken clouds
253,Vanimo,PG,-2.6741,141.3028,84.69,71,92,4.12,overcast clouds
254,San Patricio,US,28.017,-97.5169,71.46,54,14,11.61,few clouds
255,Oriximina,BR,-1.7656,-55.8661,73.99,95,97,5.48,overcast clouds
256,Cayenne,GF,4.9333,-52.3333,77.04,88,20,1.14,few clouds
257,Kutum,SD,14.2,24.6667,71.55,30,0,7.96,clear sky
258,Ostersund,SE,63.1792,14.6357,39.65,100,20,5.99,few clouds
259,Borodyanka,UA,50.6448,29.9201,51.51,65,62,7.23,broken clouds
260,Alexandria,EG,31.2156,29.9553,71.65,69,30,10.78,scattered clouds
261,Bowen,AU,-20.0167,148.2333,79.25,70,98,13.06,overcast clouds
262,Bac Lieu,VN,9.285,105.7244,79.95,78,97,2.17,overcast clouds
263,Broome,US,42.2506,-75.833,49.17,59,40,9.22,scattered clouds
264,Rio Grande,BR,-32.035,-52.0986,62.38,86,99,19.82,moderate rain
265,Shahr-E Babak,IR,30.1165,55.1186,58.64,15,9,3.49,clear sky
266,Gumdag,TM,39.2061,54.5906,62.28,47,45,15.95,scattered clouds
267,Kunming,CN,25.0389,102.7183,48.13,81,20,8.95,few clouds
268,Baruun-Urt,MN,46.6806,113.2792,32.36,22,0,7.09,clear sky
269,Chabahar,IR,25.2919,60.643,78.93,69,100,5.3,overcast clouds
270,Paita,PE,-5.0892,-81.1144,63.25,83,14,13.89,few clouds
271,Nanchong,CN,30.7951,106.0847,68.2,60,100,0.67,overcast clouds
272,Kilindoni,TZ,-7.9139,39.6668,75.88,75,6,10.83,clear sky
273,Villa Union,MX,23.2,-106.2333,83.01,78,0,5.75,clear sky
274,Sur,OM,22.5667,59.5289,78.42,37,100,6.69,overcast clouds
275,Clearwater,US,27.9659,-82.8001,79.92,82,0,10.0,clear sky
276,Whakatane,NZ,-37.9585,176.9854,71.89,48,0,10.38,clear sky
277,Agara,GE,42.0376,43.8238,56.95,97,100,2.91,light rain
278,Asfi,MA,32.2994,-9.2372,72.64,59,100,2.95,overcast clouds
279,La Fria,VE,8.2203,-72.2439,78.91,93,100,3.53,overcast clouds
280,Mahenge,TZ,-8.6833,36.7167,57.94,89,4,1.45,clear sky
281,Lishui,CN,28.4604,119.9103,59.05,50,100,7.94,overcast clouds
282,Ostrovnoy,RU,68.0531,39.5131,44.02,86,98,22.26,overcast clouds
283,Port Keats,AU,-14.25,129.55,88.7,58,55,9.17,broken clouds
284,Itauna,BR,-20.0753,-44.5764,71.83,48,100,7.45,overcast clouds
285,Daru,PG,-9.0763,143.2092,81.68,82,100,8.16,overcast clouds
286,Kirkwall,GB,58.9848,-2.9587,50.05,87,100,19.57,overcast clouds
287,Tiksi,RU,71.6872,128.8694,11.37,87,95,14.88,overcast clouds
288,Ilulissat,GL,69.2167,-51.1,41.02,81,75,9.22,broken clouds
289,De Aar,ZA,-30.6497,24.0123,65.93,63,100,7.31,overcast clouds
290,Ribeira Grande,PT,38.5167,-28.7,56.77,71,29,14.0,light rain
291,El Cope,PA,8.6167,-80.6,68.72,94,100,2.48,overcast clouds
